Years_of_schooling,Siblings,Count,target
0,0,15.0,0
1,0,34.0,0
2,0,36.0,0
3,0,22.0,0
0,1,61.0,0
1,1,31.0,0
2,1,60.0,0
3,1,46.0,0
0,2,25.0,0
1,2,26.0,0
2,2,35.0,0
3,2,45.0,0
0,3,30.0,0
1,3,13.0,0
2,3,8.0,0
3,3,18.0,0
0,4,14.0,0
1,4,3.0,0
2,4,3.0,0
3,4,4.0,0
0,0,17.0,1
1,0,53.0,1
2,0,70.0,1
3,0,67.0,1
0,1,79.0,1
1,1,60.0,1
2,1,96.0,1
3,1,45.0,1
0,2,40.0,1
1,2,31.0,1
2,2,63.0,1
3,2,74.0,1
0,3,39.0,1
1,3,24.0,1
2,3,7.0,1
3,3,15.0,1
0,4,15.0,1
1,4,9.0,1
2,4,2.0,1
3,4,1.0,1
0,0,7.0,2
1,0,20.0,2
2,0,23.0,2
3,0,16.0,2
0,1,36.0,2
1,1,5.0,2
2,1,12.0,2
3,1,11.0,2
0,2,12.0,2
1,2,7.0,2
2,2,5.0,2
3,2,10.0,2
0,3,4.0,2
1,3,4.0,2
2,3,3.0,2
3,3,2.0,2
0,4,1.0,2
1,4,2.0,2
2,4,0.0,2
3,4,1.0,2
